BF_replication,BF_uniform,BF_BUJ,True_prob,data_length_at_stop_BF
7.616853235,11.21147011,4.101236918,0.506449732,100080
9.97E-39,1.54E-37,4.57E-38,0.537718733,30060
1.04E-13,2.15E-12,4.66E-13,0.526798925,30060
5.28E-09,5.32E-08,1.83E-08,0.517590938,30060
1.74E-11,3.40E-10,7.01E-11,0.51959602,30060
1.66E-13,3.53E-12,7.37E-13,0.52514646,30060
7.18E-14,1.44E-12,3.23E-13,0.527311664,30060
2.07E-06,1.74E-05,5.74E-06,0.519166439,30060
3.88E-68,1.72E-67,6.24E-68,0.552909868,30060
1.68E-45,1.82E-44,6.46E-45,0.536033557,30060
1.15E-26,3.54E-25,6.22E-26,0.534392226,30060
8.77E-76,2.67E-75,9.78E-76,0.552045731,30060
4.56E-24,7.32E-23,2.47E-23,0.532715856,30060
1.19E-24,2.18E-23,6.43E-24,0.528792323,30060
0.041945542,0.119057098,0.040650942,0.504684196,100080
3.03E-12,6.72E-11,1.27E-11,0.52536679,30060
6.30E-08,5.89E-07,2.01E-07,0.518084594,30060
2.14E-19,3.20E-18,1.11E-18,0.524947444,30060
1.05E-08,1.01E-07,3.57E-08,0.521528242,30060
2.69E-21,3.88E-20,1.43E-20,0.525490085,30060
2.76E-82,7.27E-82,2.20E-82,0.557273358,30060
5.15E-24,9.17E-23,2.78E-23,0.526889169,30060
1.23E-31,4.39E-30,6.36E-31,0.533409492,30060
1.93E-54,5.36E-53,1.90E-53,0.546987721,30060
0.103075508,0.260251545,0.088838483,0.504684196,100080
1.10E-19,1.66E-18,5.76E-19,0.52722468,30060
4.88E-06,3.91E-05,1.30E-05,0.518425662,30060
1.07E-14,1.81E-13,4.96E-14,0.515574059,30060
2.38E-25,5.19E-24,1.29E-24,0.527914638,30060
8.02E-11,1.31E-09,3.12E-10,0.522276422,30060
3.84E-45,4.32E-44,1.49E-44,0.542710677,30060
8.74E-26,2.13E-24,4.73E-25,0.532722552,30060
2.76E-45,3.06E-44,1.07E-44,0.54098712,30060
6.42E-42,7.26E-41,2.02E-41,0.538911283,30060
0.001017326,0.007150519,0.002005143,0.513088835,30060
6.86E-37,9.52E-36,3.27E-36,0.535614528,30060
2.80E-24,4.72E-23,1.52E-23,0.527591133,30060
8.65E-13,1.96E-11,3.71E-12,0.524339868,30060
2.03E-56,7.99E-55,2.85E-55,0.546716921,30060
4.33E-67,2.23E-66,7.29E-67,0.554229304,30060
8.02E-15,1.32E-13,3.73E-14,0.523365594,30060
1.26E-17,1.83E-16,6.34E-17,0.521108098,30060
1.94E-46,2.03E-45,7.23E-46,0.54195426,30060
4.18E-13,9.29E-12,1.82E-12,0.520690131,30060
8.58E-44,1.12E-42,3.46E-43,0.54192771,30060
8.74E-26,2.13E-24,4.73E-25,0.529599127,30060
8.48E-22,1.27E-20,4.53E-21,0.529616864,30060
2.07E-06,1.74E-05,5.74E-06,0.516308033,30060
4.31E-12,9.42E-11,1.79E-11,0.519789307,30060
1.07E-31,3.76E-30,5.53E-31,0.536297668,30060
1.29E-27,5.01E-26,6.94E-27,0.534751485,30060
2.89E-13,6.34E-12,1.27E-12,0.522212058,30060
3.76E-16,5.38E-15,1.82E-15,0.522001551,30060
3.40E-16,4.86E-15,1.65E-15,0.527008248,30060
2.93E-98,6.55E-98,2.42E-98,0.55805258,30060
7.38E-88,1.24E-87,4.39E-88,0.55298471,30060
2.79E-14,5.15E-13,1.27E-13,0.528960353,30060
1.66E-20,2.52E-19,8.74E-20,0.530919258,30060
5.34E-21,8.15E-20,2.83E-20,0.531364611,30060
3.68E-33,8.82E-32,1.87E-32,0.540439933,30060
4.45E-11,7.83E-10,1.76E-10,0.522822564,30060
1.44E-36,1.97E-35,6.93E-36,0.536883398,30060
3.86E-10,5.07E-09,1.44E-09,0.521643393,30060
4.75E-60,1.79E-59,6.54E-60,0.547366312,30060
0.002898752,0.018887364,0.00530597,0.511285317,30060
1.37E-50,1.75E-49,4.48E-50,0.54611049,30060
0.001425504,0.008522019,0.002383291,0.509460279,37836
2.39E-51,3.51E-50,7.60E-51,0.539914139,30060
2.06E-35,2.86E-34,1.01E-34,0.539452819,30060
3.09E-71,1.18E-70,4.29E-71,0.555811167,30060
1.72E-19,2.57E-18,8.92E-19,0.527383142,30060
2.97E-22,4.63E-21,1.59E-21,0.528482933,30060
8.21E-25,1.57E-23,4.45E-24,0.528855419,30060
6.19E-38,9.16E-37,2.89E-37,0.533579698,30060
4.55E-28,1.94E-26,2.44E-27,0.530450905,30060
2.36E-28,1.06E-26,3.68E-27,0.534491904,30060
2.18E-26,6.23E-25,1.18E-25,0.530639035,30060
0.00340224,0.010190158,0.004398427,0.510652942,53406
3.63E-27,1.27E-25,1.96E-26,0.528860664,30060
1.42E-82,3.76E-82,1.12E-82,0.558274564,30060
